2018-12-22__20:40:20 0.39 54.27 50°C normal
2018-12-22__20:40:25 0.40 53.00 51°C note
2018-12-23__10:25:14 2.66 61.11 46°C normal
2018-12-23__10:25:20 2.67 46.66 44°C normal
2018-12-23__10:25:25 2.67 50.76 45°C normal
2018-12-23__10:25:34 2.66 45.26 45°C normal
2018-12-23__10:25:40 2.66 49.74 45°C normal
2018-12-23__10:25:46 2.66 47.97 45°C normal
2018-12-23__10:25:51 2.67 47.47 45°C normal
2018-12-23__10:25:57 2.68 46.50 45°C normal
2018-12-23__10:26:02 2.67 48.01 44°C normal
2018-12-23__10:26:08 2.67 48.97 44°C normal
2018-12-23__10:26:13 2.68 45.26 44°C normal
2018-12-23__10:26:19 2.68 47.76 44°C normal
2018-12-23__10:26:25 2.67 44.84 44°C normal
2018-12-23__10:26:30 2.67 45.64 44°C normal
2018-12-23__10:26:36 2.66 49.50 43°C normal
